,estacion,concentracion,dt
1876,38,9.0,2019-04-02 00:00:00
1893,48,9.0,2019-04-02 00:00:00
1911,8,2.0,2019-04-02 01:00:00
1937,38,8.0,2019-04-02 01:00:00
1938,50,4.0,2019-04-02 01:00:00
1939,47,5.0,2019-04-02 01:00:00
1952,48,4.0,2019-04-02 01:00:00
1954,24,4.0,2019-04-02 01:00:00
1976,8,3.0,2019-04-02 02:00:00
2000,48,5.0,2019-04-02 02:00:00
2001,38,4.0,2019-04-02 02:00:00
2005,50,5.0,2019-04-02 02:00:00
2013,24,3.0,2019-04-02 02:00:00
2014,47,5.0,2019-04-02 02:00:00
2052,48,7.0,2019-04-02 03:00:00
2053,47,1.0,2019-04-02 03:00:00
2060,8,1.0,2019-04-02 03:00:00
2100,24,7.0,2019-04-02 03:00:00
2105,50,4.0,2019-04-02 03:00:00
2106,38,7.0,2019-04-02 03:00:00
2138,50,7.0,2019-04-02 04:00:00
2139,47,4.0,2019-04-02 04:00:00
2154,48,6.0,2019-04-02 04:00:00
2188,24,7.0,2019-04-02 04:00:00
2192,38,9.0,2019-04-02 04:00:00
2197,8,3.0,2019-04-02 04:00:00
2207,8,6.0,2019-04-02 05:00:00
2219,47,5.0,2019-04-02 05:00:00
2220,24,6.0,2019-04-02 05:00:00
2224,50,5.0,2019-04-02 05:00:00
2265,48,5.0,2019-04-02 05:00:00
2270,38,5.0,2019-04-02 05:00:00
2285,47,8.0,2019-04-02 06:00:00
2325,38,6.0,2019-04-02 06:00:00
2335,8,2.0,2019-04-02 06:00:00
2347,50,2.0,2019-04-02 06:00:00
2349,24,4.0,2019-04-02 06:00:00
2353,48,4.0,2019-04-02 06:00:00
2376,24,3.0,2019-04-02 07:00:00
2377,38,5.0,2019-04-02 07:00:00
2384,8,8.0,2019-04-02 07:00:00
2395,47,14.0,2019-04-02 07:00:00
2396,48,6.0,2019-04-02 07:00:00
2398,50,3.0,2019-04-02 07:00:00
2446,38,7.0,2019-04-02 08:00:00
2479,8,7.0,2019-04-02 08:00:00
2492,24,4.0,2019-04-02 08:00:00
2495,47,12.0,2019-04-02 08:00:00
2497,48,9.0,2019-04-02 08:00:00
2498,50,8.0,2019-04-02 08:00:00
2511,24,5.0,2019-04-02 09:00:00
2523,50,12.0,2019-04-02 09:00:00
2525,38,12.0,2019-04-02 09:00:00
2549,8,9.0,2019-04-02 09:00:00
2559,48,10.0,2019-04-02 09:00:00
2572,47,9.0,2019-04-02 09:00:00
2587,24,7.0,2019-04-02 10:00:00
2602,50,16.0,2019-04-02 10:00:00
2612,38,21.0,2019-04-02 10:00:00
2626,8,14.0,2019-04-02 10:00:00
2641,47,10.0,2019-04-02 10:00:00
2646,48,12.0,2019-04-02 10:00:00
2661,50,17.0,2019-04-02 11:00:00
2665,24,10.0,2019-04-02 11:00:00
2686,8,23.0,2019-04-02 11:00:00
2688,38,22.0,2019-04-02 11:00:00
2697,47,12.0,2019-04-02 11:00:00
2713,48,18.0,2019-04-02 11:00:00
2741,50,22.0,2019-04-02 12:00:00
2767,24,14.0,2019-04-02 12:00:00
2771,47,11.0,2019-04-02 12:00:00
2783,8,35.0,2019-04-02 12:00:00
2796,48,17.0,2019-04-02 12:00:00
2810,38,15.0,2019-04-02 12:00:00
2835,8,22.0,2019-04-02 13:00:00
2857,38,13.0,2019-04-02 13:00:00
2859,50,23.0,2019-04-02 13:00:00
2864,48,16.0,2019-04-02 13:00:00
2871,24,18.0,2019-04-02 13:00:00
2872,47,10.0,2019-04-02 13:00:00
2888,8,11.0,2019-04-02 14:00:00
2891,47,11.0,2019-04-02 14:00:00
2893,50,19.0,2019-04-02 14:00:00
2895,24,19.0,2019-04-02 14:00:00
2896,38,21.0,2019-04-02 14:00:00
2941,48,19.0,2019-04-02 14:00:00
2974,47,16.0,2019-04-02 15:00:00
2983,50,14.0,2019-04-02 15:00:00
2995,24,11.0,2019-04-02 15:00:00
3003,8,16.0,2019-04-02 15:00:00
3024,38,13.0,2019-04-02 15:00:00
3032,48,17.0,2019-04-02 15:00:00
3040,24,9.0,2019-04-02 16:00:00
3048,47,11.0,2019-04-02 16:00:00
3066,48,12.0,2019-04-02 16:00:00
3071,8,7.0,2019-04-02 16:00:00
3081,38,5.0,2019-04-02 16:00:00
3101,50,5.0,2019-04-02 16:00:00
3135,24,2.0,2019-04-02 17:00:00
3137,50,13.0,2019-04-02 17:00:00
3148,8,3.0,2019-04-02 17:00:00
3165,47,8.0,2019-04-02 17:00:00
3176,38,4.0,2019-04-02 17:00:00
3183,48,8.0,2019-04-02 17:00:00
3219,24,4.0,2019-04-02 18:00:00
3224,8,2.0,2019-04-02 18:00:00
3232,48,4.0,2019-04-02 18:00:00
3241,38,1.0,2019-04-02 18:00:00
3245,47,10.0,2019-04-02 18:00:00
3265,50,4.0,2019-04-02 18:00:00
3275,47,2.0,2019-04-02 19:00:00
3283,8,2.0,2019-04-02 19:00:00
3288,24,4.0,2019-04-02 19:00:00
3304,38,5.0,2019-04-02 19:00:00
3318,50,8.0,2019-04-02 19:00:00
3324,48,2.0,2019-04-02 19:00:00
3354,38,2.0,2019-04-02 20:00:00
3376,48,8.0,2019-04-02 20:00:00
3382,8,13.0,2019-04-02 20:00:00
3387,24,5.0,2019-04-02 20:00:00
3394,47,1.0,2019-04-02 20:00:00
3407,50,5.0,2019-04-02 20:00:00
3445,48,4.0,2019-04-02 21:00:00
3450,50,8.0,2019-04-02 21:00:00
3456,47,3.0,2019-04-02 21:00:00
3458,8,15.0,2019-04-02 21:00:00
3475,24,4.0,2019-04-02 21:00:00
3479,38,5.0,2019-04-02 21:00:00
3513,8,15.0,2019-04-02 22:00:00
3521,38,8.0,2019-04-02 22:00:00
3544,48,9.0,2019-04-02 22:00:00
3562,24,4.0,2019-04-02 22:00:00
3564,47,3.0,2019-04-02 22:00:00
3570,50,12.0,2019-04-02 22:00:00
3577,48,10.0,2019-04-02 23:00:00
3589,24,6.0,2019-04-02 23:00:00
3594,47,3.0,2019-04-02 23:00:00
3595,8,6.0,2019-04-02 23:00:00
3609,50,9.0,2019-04-02 23:00:00
3633,38,10.0,2019-04-02 23:00:00
3664,38,3.0,2019-04-03 00:00:00
3669,47,4.0,2019-04-03 00:00:00
3674,50,4.0,2019-04-03 00:00:00
3682,8,9.0,2019-04-03 00:00:00
3687,48,2.0,2019-04-03 00:00:00
3705,24,2.0,2019-04-03 00:00:00
3727,8,10.0,2019-04-03 01:00:00
3734,47,4.0,2019-04-03 01:00:00
3744,38,7.0,2019-04-03 01:00:00
3759,24,4.0,2019-04-03 01:00:00
3782,50,7.0,2019-04-03 01:00:00
3793,48,8.0,2019-04-03 01:00:00
3816,50,8.0,2019-04-03 02:00:00
3825,38,7.0,2019-04-03 02:00:00
3849,47,6.0,2019-04-03 02:00:00
3850,48,6.0,2019-04-03 02:00:00
3857,8,14.0,2019-04-03 02:00:00
3875,24,5.0,2019-04-03 02:00:00
3896,38,7.0,2019-04-03 03:00:00
3903,50,13.0,2019-04-03 03:00:00
3905,47,5.0,2019-04-03 03:00:00
3946,48,6.0,2019-04-03 03:00:00
3949,24,6.0,2019-04-03 03:00:00
3951,8,6.0,2019-04-03 03:00:00
3962,8,3.0,2019-04-03 04:00:00
3979,47,4.0,2019-04-03 04:00:00
3985,50,11.0,2019-04-03 04:00:00
