,estacion,concentracion,dt
836,38,16.0,2019-04-01 11:00:00
853,60,7.0,2019-04-01 11:00:00
855,50,19.0,2019-04-01 11:00:00
868,36,32.0,2019-04-01 11:00:00
876,55,1.0,2019-04-01 11:00:00
880,47,15.0,2019-04-01 11:00:00
886,18,18.0,2019-04-01 11:00:00
894,40,17.0,2019-04-01 11:00:00
896,48,16.0,2019-04-01 11:00:00
905,8,22.0,2019-04-01 11:00:00
907,24,6.0,2019-04-01 11:00:00
911,57,16.0,2019-04-01 11:00:00
913,50,16.0,2019-04-01 12:00:00
914,36,36.0,2019-04-01 12:00:00
924,38,17.0,2019-04-01 12:00:00
929,60,4.0,2019-04-01 12:00:00
937,24,10.0,2019-04-01 12:00:00
941,18,19.0,2019-04-01 12:00:00
959,8,23.0,2019-04-01 12:00:00
964,48,10.0,2019-04-01 12:00:00
972,55,1.0,2019-04-01 12:00:00
973,47,11.0,2019-04-01 12:00:00
976,40,6.0,2019-04-01 12:00:00
977,57,3.0,2019-04-01 12:00:00
1007,40,5.0,2019-04-01 13:00:00
1008,38,17.0,2019-04-01 13:00:00
1011,55,1.0,2019-04-01 13:00:00
1018,48,11.0,2019-04-01 13:00:00
1021,8,19.0,2019-04-01 13:00:00
1027,36,55.0,2019-04-01 13:00:00
1035,24,12.0,2019-04-01 13:00:00
1042,60,9.0,2019-04-01 13:00:00
1048,57,6.0,2019-04-01 13:00:00
1055,18,22.0,2019-04-01 13:00:00
1057,50,7.0,2019-04-01 13:00:00
1062,47,7.0,2019-04-01 13:00:00
1069,8,24.0,2019-04-01 14:00:00
1072,60,2.0,2019-04-01 14:00:00
1082,55,1.0,2019-04-01 14:00:00
1086,47,8.0,2019-04-01 14:00:00
1091,38,18.0,2019-04-01 14:00:00
1103,36,60.0,2019-04-01 14:00:00
1107,18,19.0,2019-04-01 14:00:00
1120,50,11.0,2019-04-01 14:00:00
1125,57,2.0,2019-04-01 14:00:00
1130,40,5.0,2019-04-01 14:00:00
1135,24,11.0,2019-04-01 14:00:00
1139,48,16.0,2019-04-01 14:00:00
1140,48,21.0,2019-04-01 15:00:00
1143,47,10.0,2019-04-01 15:00:00
1149,8,20.0,2019-04-01 15:00:00
1150,60,1.0,2019-04-01 15:00:00
1154,38,26.0,2019-04-01 15:00:00
1159,40,2.0,2019-04-01 15:00:00
1182,36,86.0,2019-04-01 15:00:00
1189,57,1.0,2019-04-01 15:00:00
1195,24,14.0,2019-04-01 15:00:00
1196,50,22.0,2019-04-01 15:00:00
1197,55,1.0,2019-04-01 15:00:00
1204,18,20.0,2019-04-01 15:00:00
1222,18,15.0,2019-04-01 16:00:00
1223,40,9.0,2019-04-01 16:00:00
1224,8,14.0,2019-04-01 16:00:00
1234,36,37.0,2019-04-01 16:00:00
1243,38,20.0,2019-04-01 16:00:00
1246,48,20.0,2019-04-01 16:00:00
1251,57,9.0,2019-04-01 16:00:00
1258,60,2.0,2019-04-01 16:00:00
1277,55,1.0,2019-04-01 16:00:00
1279,50,21.0,2019-04-01 16:00:00
1281,47,9.0,2019-04-01 16:00:00
1287,24,11.0,2019-04-01 16:00:00
1297,55,14.0,2019-04-01 17:00:00
1299,60,21.0,2019-04-01 17:00:00
1305,40,6.0,2019-04-01 17:00:00
1308,24,7.0,2019-04-01 17:00:00
1310,18,14.0,2019-04-01 17:00:00
1317,48,19.0,2019-04-01 17:00:00
1321,50,20.0,2019-04-01 17:00:00
1330,47,13.0,2019-04-01 17:00:00
1343,36,75.0,2019-04-01 17:00:00
1347,57,14.0,2019-04-01 17:00:00
1348,38,17.0,2019-04-01 17:00:00
1349,8,12.0,2019-04-01 17:00:00
1377,50,20.0,2019-04-01 18:00:00
1379,40,8.0,2019-04-01 18:00:00
1389,24,7.0,2019-04-01 18:00:00
1395,18,14.0,2019-04-01 18:00:00
1399,38,20.0,2019-04-01 18:00:00
1407,60,8.0,2019-04-01 18:00:00
1410,57,3.0,2019-04-01 18:00:00
1419,8,16.0,2019-04-01 18:00:00
1428,36,35.0,2019-04-01 18:00:00
1439,55,23.0,2019-04-01 18:00:00
1440,48,17.0,2019-04-01 18:00:00
1442,47,6.0,2019-04-01 18:00:00
1444,8,14.0,2019-04-01 19:00:00
1451,55,18.0,2019-04-01 19:00:00
1465,57,3.0,2019-04-01 19:00:00
1470,36,18.0,2019-04-01 19:00:00
1473,18,13.0,2019-04-01 19:00:00
1476,47,10.0,2019-04-01 19:00:00
1478,40,5.0,2019-04-01 19:00:00
1485,48,16.0,2019-04-01 19:00:00
1489,24,8.0,2019-04-01 19:00:00
1495,38,17.0,2019-04-01 19:00:00
1500,60,3.0,2019-04-01 19:00:00
1507,50,18.0,2019-04-01 19:00:00
1521,38,16.0,2019-04-01 20:00:00
1523,57,5.0,2019-04-01 20:00:00
1542,40,4.0,2019-04-01 20:00:00
1552,50,16.0,2019-04-01 20:00:00
1553,24,6.0,2019-04-01 20:00:00
1559,48,12.0,2019-04-01 20:00:00
1563,60,5.0,2019-04-01 20:00:00
1566,55,19.0,2019-04-01 20:00:00
1567,8,23.0,2019-04-01 20:00:00
1570,18,12.0,2019-04-01 20:00:00
1584,47,5.0,2019-04-01 20:00:00
1589,36,15.0,2019-04-01 20:00:00
1602,57,12.0,2019-04-01 21:00:00
1617,18,11.0,2019-04-01 21:00:00
1619,48,11.0,2019-04-01 21:00:00
1620,47,11.0,2019-04-01 21:00:00
1626,60,10.0,2019-04-01 21:00:00
1649,24,6.0,2019-04-01 21:00:00
1651,38,16.0,2019-04-01 21:00:00
1658,36,27.0,2019-04-01 21:00:00
1660,55,15.0,2019-04-01 21:00:00
1664,50,18.0,2019-04-01 21:00:00
1670,8,21.0,2019-04-01 21:00:00
1671,40,6.0,2019-04-01 21:00:00
