,estacion,concentracion,dt
1174,36,19.0,2019-04-01 15:00:00
1176,17,6.0,2019-04-01 15:00:00
1180,38,10.0,2019-04-01 15:00:00
1185,24,5.0,2019-04-01 15:00:00
1186,18,11.0,2019-04-01 15:00:00
1199,40,10.0,2019-04-01 15:00:00
1205,57,8.0,2019-04-01 15:00:00
1212,4,3.0,2019-04-01 15:00:00
1215,8,9.0,2019-04-01 15:00:00
1216,17,6.0,2019-04-01 16:00:00
1218,18,11.0,2019-04-01 16:00:00
1220,40,9.0,2019-04-01 16:00:00
1233,38,10.0,2019-04-01 16:00:00
1237,4,2.0,2019-04-01 16:00:00
1238,36,22.0,2019-04-01 16:00:00
1242,35,14.0,2019-04-01 16:00:00
1253,57,7.0,2019-04-01 16:00:00
1255,8,9.0,2019-04-01 16:00:00
1286,24,5.0,2019-04-01 16:00:00
1293,17,6.0,2019-04-01 17:00:00
1315,24,4.0,2019-04-01 17:00:00
1322,18,10.0,2019-04-01 17:00:00
1332,35,14.0,2019-04-01 17:00:00
1342,36,21.0,2019-04-01 17:00:00
1344,8,8.0,2019-04-01 17:00:00
1353,4,2.0,2019-04-01 17:00:00
1361,38,10.0,2019-04-01 17:00:00
1364,40,9.0,2019-04-01 17:00:00
1365,57,7.0,2019-04-01 17:00:00
1371,8,8.0,2019-04-01 18:00:00
1374,24,4.0,2019-04-01 18:00:00
1380,35,14.0,2019-04-01 18:00:00
1381,40,9.0,2019-04-01 18:00:00
1387,4,1.0,2019-04-01 18:00:00
1403,18,10.0,2019-04-01 18:00:00
1414,36,16.0,2019-04-01 18:00:00
1420,17,5.0,2019-04-01 18:00:00
1427,57,8.0,2019-04-01 18:00:00
1432,38,9.0,2019-04-01 18:00:00
1448,18,10.0,2019-04-01 19:00:00
1461,36,11.0,2019-04-01 19:00:00
1467,24,4.0,2019-04-01 19:00:00
1472,57,8.0,2019-04-01 19:00:00
1475,17,5.0,2019-04-01 19:00:00
1482,38,10.0,2019-04-01 19:00:00
1493,40,9.0,2019-04-01 19:00:00
1494,4,2.0,2019-04-01 19:00:00
1502,8,8.0,2019-04-01 19:00:00
1505,35,13.0,2019-04-01 19:00:00
1533,17,6.0,2019-04-01 20:00:00
1537,4,2.0,2019-04-01 20:00:00
1543,40,9.0,2019-04-01 20:00:00
1556,35,13.0,2019-04-01 20:00:00
1561,18,10.0,2019-04-01 20:00:00
1562,8,8.0,2019-04-01 20:00:00
1569,36,11.0,2019-04-01 20:00:00
1571,57,8.0,2019-04-01 20:00:00
1578,24,4.0,2019-04-01 20:00:00
1580,38,11.0,2019-04-01 20:00:00
1596,18,10.0,2019-04-01 21:00:00
1604,36,11.0,2019-04-01 21:00:00
1621,35,13.0,2019-04-01 21:00:00
1627,17,6.0,2019-04-01 21:00:00
1630,8,8.0,2019-04-01 21:00:00
1646,4,2.0,2019-04-01 21:00:00
1648,40,9.0,2019-04-01 21:00:00
1659,57,9.0,2019-04-01 21:00:00
1662,38,10.0,2019-04-01 21:00:00
1665,24,4.0,2019-04-01 21:00:00
1674,17,7.0,2019-04-01 22:00:00
1689,57,11.0,2019-04-01 22:00:00
1690,38,11.0,2019-04-01 22:00:00
1701,35,13.0,2019-04-01 22:00:00
1710,18,12.0,2019-04-01 22:00:00
1714,24,5.0,2019-04-01 22:00:00
1717,40,10.0,2019-04-01 22:00:00
1723,8,8.0,2019-04-01 22:00:00
1724,36,14.0,2019-04-01 22:00:00
1735,4,4.0,2019-04-01 22:00:00
1751,57,13.0,2019-04-01 23:00:00
1764,17,8.0,2019-04-01 23:00:00
1775,18,12.0,2019-04-01 23:00:00
1778,24,4.0,2019-04-01 23:00:00
1779,4,4.0,2019-04-01 23:00:00
1788,38,11.0,2019-04-01 23:00:00
1797,40,10.0,2019-04-01 23:00:00
1799,35,13.0,2019-04-01 23:00:00
1803,36,12.0,2019-04-01 23:00:00
1815,8,8.0,2019-04-01 23:00:00
1834,24,4.0,2019-04-02 00:00:00
1835,8,8.0,2019-04-02 00:00:00
1837,38,11.0,2019-04-02 00:00:00
1839,4,4.0,2019-04-02 00:00:00
1859,36,8.0,2019-04-02 00:00:00
1864,57,12.0,2019-04-02 00:00:00
1872,17,7.0,2019-04-02 00:00:00
1886,40,9.0,2019-04-02 00:00:00
1891,18,10.0,2019-04-02 00:00:00
1898,35,13.0,2019-04-02 00:00:00
1907,57,11.0,2019-04-02 01:00:00
1910,35,13.0,2019-04-02 01:00:00
1923,4,3.0,2019-04-02 01:00:00
1925,40,10.0,2019-04-02 01:00:00
1926,36,10.0,2019-04-02 01:00:00
1927,8,8.0,2019-04-02 01:00:00
1965,38,10.0,2019-04-02 01:00:00
1968,18,10.0,2019-04-02 01:00:00
1974,17,7.0,2019-04-02 01:00:00
1975,24,4.0,2019-04-02 01:00:00
1979,38,10.0,2019-04-02 02:00:00
1987,4,3.0,2019-04-02 02:00:00
1998,8,8.0,2019-04-02 02:00:00
2016,36,10.0,2019-04-02 02:00:00
2018,24,4.0,2019-04-02 02:00:00
2029,35,13.0,2019-04-02 02:00:00
2031,17,8.0,2019-04-02 02:00:00
2032,57,11.0,2019-04-02 02:00:00
2044,18,10.0,2019-04-02 02:00:00
2050,40,9.0,2019-04-02 02:00:00
2064,8,8.0,2019-04-02 03:00:00
2068,4,4.0,2019-04-02 03:00:00
2074,35,13.0,2019-04-02 03:00:00
2083,57,11.0,2019-04-02 03:00:00
2084,24,4.0,2019-04-02 03:00:00
2089,18,10.0,2019-04-02 03:00:00
2094,17,8.0,2019-04-02 03:00:00
2113,38,10.0,2019-04-02 03:00:00
2116,40,9.0,2019-04-02 03:00:00
2126,36,9.0,2019-04-02 03:00:00
2137,17,8.0,2019-04-02 04:00:00
2145,18,10.0,2019-04-02 04:00:00
2148,40,9.0,2019-04-02 04:00:00
2162,38,11.0,2019-04-02 04:00:00
2170,35,13.0,2019-04-02 04:00:00
2171,36,9.0,2019-04-02 04:00:00
2175,24,4.0,2019-04-02 04:00:00
2184,57,12.0,2019-04-02 04:00:00
2199,4,4.0,2019-04-02 04:00:00
2202,8,8.0,2019-04-02 04:00:00
2231,4,3.0,2019-04-02 05:00:00
2237,24,4.0,2019-04-02 05:00:00
2242,35,13.0,2019-04-02 05:00:00
2246,8,8.0,2019-04-02 05:00:00
2247,57,12.0,2019-04-02 05:00:00
2251,40,10.0,2019-04-02 05:00:00
2261,36,9.0,2019-04-02 05:00:00
2273,17,8.0,2019-04-02 05:00:00
2278,18,10.0,2019-04-02 05:00:00
2279,38,11.0,2019-04-02 05:00:00
2280,57,12.0,2019-04-02 06:00:00
2292,36,8.0,2019-04-02 06:00:00
2302,24,4.0,2019-04-02 06:00:00
2305,35,13.0,2019-04-02 06:00:00
2306,38,11.0,2019-04-02 06:00:00
2311,4,4.0,2019-04-02 06:00:00
2326,17,8.0,2019-04-02 06:00:00
2327,8,8.0,2019-04-02 06:00:00
2351,18,10.0,2019-04-02 06:00:00
2354,40,10.0,2019-04-02 06:00:00
2358,35,12.0,2019-04-02 07:00:00
2360,4,4.0,2019-04-02 07:00:00
2375,57,12.0,2019-04-02 07:00:00
2381,40,10.0,2019-04-02 07:00:00
2388,36,8.0,2019-04-02 07:00:00
2411,18,10.0,2019-04-02 07:00:00
2414,24,4.0,2019-04-02 07:00:00
2415,8,8.0,2019-04-02 07:00:00
2422,38,11.0,2019-04-02 07:00:00
2430,17,9.0,2019-04-02 07:00:00
2435,38,12.0,2019-04-02 08:00:00
2454,8,9.0,2019-04-02 08:00:00
2463,36,8.0,2019-04-02 08:00:00
2464,4,6.0,2019-04-02 08:00:00
2471,24,4.0,2019-04-02 08:00:00
2484,57,15.0,2019-04-02 08:00:00
2485,18,11.0,2019-04-02 08:00:00
2488,17,10.0,2019-04-02 08:00:00
2496,35,13.0,2019-04-02 08:00:00
2501,40,10.0,2019-04-02 08:00:00
2513,38,14.0,2019-04-02 09:00:00
2522,35,15.0,2019-04-02 09:00:00
2532,57,17.0,2019-04-02 09:00:00
2534,8,9.0,2019-04-02 09:00:00
2543,24,4.0,2019-04-02 09:00:00
2545,36,8.0,2019-04-02 09:00:00
