,estacion,concentracion,dt
477,55,19.0,2019-04-01 06:00:00
478,56,23.0,2019-04-01 06:00:00
480,54,19.0,2019-04-01 06:00:00
484,58,4.0,2019-04-01 06:00:00
485,50,11.0,2019-04-01 06:00:00
486,49,7.0,2019-04-01 06:00:00
490,48,5.0,2019-04-01 06:00:00
492,47,15.0,2019-04-01 06:00:00
498,16,9.0,2019-04-01 06:00:00
500,11,9.0,2019-04-01 06:00:00
502,60,5.0,2019-04-01 06:00:00
506,8,15.0,2019-04-01 06:00:00
510,4,12.0,2019-04-01 06:00:00
517,27,11.0,2019-04-01 06:00:00
521,24,6.0,2019-04-01 06:00:00
523,17,15.0,2019-04-01 06:00:00
528,59,6.0,2019-04-01 06:00:00
535,40,21.0,2019-04-01 07:00:00
536,47,25.0,2019-04-01 07:00:00
541,27,31.0,2019-04-01 07:00:00
545,35,19.0,2019-04-01 07:00:00
546,39,15.0,2019-04-01 07:00:00
549,36,23.0,2019-04-01 07:00:00
552,38,20.0,2019-04-01 07:00:00
557,58,14.0,2019-04-01 07:00:00
561,60,9.0,2019-04-01 07:00:00
563,59,15.0,2019-04-01 07:00:00
566,57,17.0,2019-04-01 07:00:00
570,48,11.0,2019-04-01 07:00:00
571,56,39.0,2019-04-01 07:00:00
574,55,30.0,2019-04-01 07:00:00
576,54,33.0,2019-04-01 07:00:00
579,50,20.0,2019-04-01 07:00:00
581,49,12.0,2019-04-01 07:00:00
585,24,7.0,2019-04-01 07:00:00
589,8,30.0,2019-04-01 07:00:00
593,11,19.0,2019-04-01 07:00:00
595,16,14.0,2019-04-01 07:00:00
599,17,34.0,2019-04-01 07:00:00
600,4,20.0,2019-04-01 07:00:00
607,18,21.0,2019-04-01 07:00:00
608,49,27.0,2019-04-01 08:00:00
609,24,22.0,2019-04-01 08:00:00
616,18,44.0,2019-04-01 08:00:00
618,50,44.0,2019-04-01 08:00:00
620,17,39.0,2019-04-01 08:00:00
624,16,49.0,2019-04-01 08:00:00
626,11,39.0,2019-04-01 08:00:00
634,48,26.0,2019-04-01 08:00:00
638,39,45.0,2019-04-01 08:00:00
640,47,54.0,2019-04-01 08:00:00
643,38,44.0,2019-04-01 08:00:00
648,36,49.0,2019-04-01 08:00:00
650,8,62.0,2019-04-01 08:00:00
654,35,36.0,2019-04-01 08:00:00
658,27,49.0,2019-04-01 08:00:00
661,40,53.0,2019-04-01 08:00:00
664,54,54.0,2019-04-01 08:00:00
666,57,34.0,2019-04-01 08:00:00
668,58,32.0,2019-04-01 08:00:00
673,59,29.0,2019-04-01 08:00:00
674,56,66.0,2019-04-01 08:00:00
675,55,51.0,2019-04-01 08:00:00
677,4,41.0,2019-04-01 08:00:00
683,60,47.0,2019-04-01 08:00:00
685,4,68.0,2019-04-01 09:00:00
687,27,41.0,2019-04-01 09:00:00
690,60,58.0,2019-04-01 09:00:00
694,8,86.0,2019-04-01 09:00:00
695,11,48.0,2019-04-01 09:00:00
703,18,63.0,2019-04-01 09:00:00
709,17,60.0,2019-04-01 09:00:00
712,16,53.0,2019-04-01 09:00:00
716,24,45.0,2019-04-01 09:00:00
718,40,58.0,2019-04-01 09:00:00
722,47,70.0,2019-04-01 09:00:00
726,48,50.0,2019-04-01 09:00:00
730,49,48.0,2019-04-01 09:00:00
732,50,47.0,2019-04-01 09:00:00
733,56,88.0,2019-04-01 09:00:00
734,54,67.0,2019-04-01 09:00:00
739,35,54.0,2019-04-01 09:00:00
743,57,56.0,2019-04-01 09:00:00
746,59,46.0,2019-04-01 09:00:00
749,36,63.0,2019-04-01 09:00:00
752,39,58.0,2019-04-01 09:00:00
753,38,63.0,2019-04-01 09:00:00
754,58,38.0,2019-04-01 09:00:00
759,55,49.0,2019-04-01 09:00:00
763,36,66.0,2019-04-01 10:00:00
764,16,49.0,2019-04-01 10:00:00
767,11,60.0,2019-04-01 10:00:00
769,38,64.0,2019-04-01 10:00:00
775,27,25.0,2019-04-01 10:00:00
779,18,62.0,2019-04-01 10:00:00
781,24,57.0,2019-04-01 10:00:00
789,17,58.0,2019-04-01 10:00:00
794,35,56.0,2019-04-01 10:00:00
795,8,89.0,2019-04-01 10:00:00
796,60,44.0,2019-04-01 10:00:00
801,56,88.0,2019-04-01 10:00:00
804,55,48.0,2019-04-01 10:00:00
807,54,58.0,2019-04-01 10:00:00
811,50,58.0,2019-04-01 10:00:00
812,49,49.0,2019-04-01 10:00:00
816,57,42.0,2019-04-01 10:00:00
817,39,52.0,2019-04-01 10:00:00
821,4,76.0,2019-04-01 10:00:00
822,40,64.0,2019-04-01 10:00:00
829,58,25.0,2019-04-01 10:00:00
830,48,55.0,2019-04-01 10:00:00
833,47,68.0,2019-04-01 10:00:00
834,59,28.0,2019-04-01 10:00:00
841,56,86.0,2019-04-01 11:00:00
844,27,22.0,2019-04-01 11:00:00
845,59,20.0,2019-04-01 11:00:00
849,47,67.0,2019-04-01 11:00:00
850,18,53.0,2019-04-01 11:00:00
862,39,39.0,2019-04-01 11:00:00
865,55,39.0,2019-04-01 11:00:00
866,35,56.0,2019-04-01 11:00:00
867,38,52.0,2019-04-01 11:00:00
870,49,54.0,2019-04-01 11:00:00
871,17,46.0,2019-04-01 11:00:00
873,54,34.0,2019-04-01 11:00:00
875,48,34.0,2019-04-01 11:00:00
878,16,50.0,2019-04-01 11:00:00
882,8,88.0,2019-04-01 11:00:00
884,36,57.0,2019-04-01 11:00:00
885,24,53.0,2019-04-01 11:00:00
888,40,52.0,2019-04-01 11:00:00
890,50,42.0,2019-04-01 11:00:00
892,57,36.0,2019-04-01 11:00:00
893,11,43.0,2019-04-01 11:00:00
895,60,30.0,2019-04-01 11:00:00
898,58,16.0,2019-04-01 11:00:00
904,4,72.0,2019-04-01 11:00:00
912,56,72.0,2019-04-01 12:00:00
915,36,40.0,2019-04-01 12:00:00
916,11,48.0,2019-04-01 12:00:00
921,38,49.0,2019-04-01 12:00:00
925,59,25.0,2019-04-01 12:00:00
926,17,29.0,2019-04-01 12:00:00
928,60,27.0,2019-04-01 12:00:00
930,55,32.0,2019-04-01 12:00:00
932,24,58.0,2019-04-01 12:00:00
942,27,36.0,2019-04-01 12:00:00
944,8,77.0,2019-04-01 12:00:00
945,54,25.0,2019-04-01 12:00:00
950,18,54.0,2019-04-01 12:00:00
951,35,57.0,2019-04-01 12:00:00
954,16,46.0,2019-04-01 12:00:00
962,4,76.0,2019-04-01 12:00:00
963,49,45.0,2019-04-01 12:00:00
968,57,23.0,2019-04-01 12:00:00
970,48,34.0,2019-04-01 12:00:00
971,40,34.0,2019-04-01 12:00:00
974,58,8.0,2019-04-01 12:00:00
982,47,43.0,2019-04-01 12:00:00
985,50,32.0,2019-04-01 12:00:00
986,39,36.0,2019-04-01 12:00:00
988,8,78.0,2019-04-01 13:00:00
992,57,23.0,2019-04-01 13:00:00
993,24,40.0,2019-04-01 13:00:00
1002,59,30.0,2019-04-01 13:00:00
1005,27,43.0,2019-04-01 13:00:00
1009,55,30.0,2019-04-01 13:00:00
1012,36,33.0,2019-04-01 13:00:00
1013,60,23.0,2019-04-01 13:00:00
1014,48,40.0,2019-04-01 13:00:00
1017,17,23.0,2019-04-01 13:00:00
1024,39,29.0,2019-04-01 13:00:00
1025,38,53.0,2019-04-01 13:00:00
1026,47,43.0,2019-04-01 13:00:00
1028,18,52.0,2019-04-01 13:00:00
1029,56,61.0,2019-04-01 13:00:00
1032,4,56.0,2019-04-01 13:00:00
1033,49,39.0,2019-04-01 13:00:00
1045,40,32.0,2019-04-01 13:00:00
1051,16,44.0,2019-04-01 13:00:00
1052,11,42.0,2019-04-01 13:00:00
1058,50,28.0,2019-04-01 13:00:00
1059,35,53.0,2019-04-01 13:00:00
1060,54,22.0,2019-04-01 13:00:00
1063,58,8.0,2019-04-01 13:00:00
1064,60,22.0,2019-04-01 14:00:00
1065,40,33.0,2019-04-01 14:00:00
1066,55,23.0,2019-04-01 14:00:00
1067,36,36.0,2019-04-01 14:00:00
1073,50,40.0,2019-04-01 14:00:00
1080,35,43.0,2019-04-01 14:00:00
1083,17,21.0,2019-04-01 14:00:00
1085,18,48.0,2019-04-01 14:00:00
1090,8,67.0,2019-04-01 14:00:00
1093,24,36.0,2019-04-01 14:00:00
1095,49,35.0,2019-04-01 14:00:00
1097,39,30.0,2019-04-01 14:00:00
1098,38,57.0,2019-04-01 14:00:00
1101,56,54.0,2019-04-01 14:00:00
1102,11,54.0,2019-04-01 14:00:00
1105,4,63.0,2019-04-01 14:00:00
1121,47,37.0,2019-04-01 14:00:00
1122,58,15.0,2019-04-01 14:00:00
1126,54,29.0,2019-04-01 14:00:00
1128,27,22.0,2019-04-01 14:00:00
1129,57,22.0,2019-04-01 14:00:00
1132,59,29.0,2019-04-01 14:00:00
1136,16,34.0,2019-04-01 14:00:00
1137,48,53.0,2019-04-01 14:00:00
1148,18,39.0,2019-04-01 15:00:00
1153,8,62.0,2019-04-01 15:00:00
1156,56,59.0,2019-04-01 15:00:00
1157,57,23.0,2019-04-01 15:00:00
1158,48,50.0,2019-04-01 15:00:00
1161,36,33.0,2019-04-01 15:00:00
1166,39,36.0,2019-04-01 15:00:00
1167,50,48.0,2019-04-01 15:00:00
1168,27,18.0,2019-04-01 15:00:00
1170,35,46.0,2019-04-01 15:00:00
1171,24,32.0,2019-04-01 15:00:00
1172,17,23.0,2019-04-01 15:00:00
1175,40,35.0,2019-04-01 15:00:00
1177,54,28.0,2019-04-01 15:00:00
1179,49,42.0,2019-04-01 15:00:00
1187,55,23.0,2019-04-01 15:00:00
1188,38,49.0,2019-04-01 15:00:00
1190,11,53.0,2019-04-01 15:00:00
1200,47,35.0,2019-04-01 15:00:00
1201,16,34.0,2019-04-01 15:00:00
1207,60,29.0,2019-04-01 15:00:00
1210,58,25.0,2019-04-01 15:00:00
1213,4,54.0,2019-04-01 15:00:00
1214,59,21.0,2019-04-01 15:00:00
1217,39,43.0,2019-04-01 16:00:00
1221,40,29.0,2019-04-01 16:00:00
1225,47,28.0,2019-04-01 16:00:00
1231,48,40.0,2019-04-01 16:00:00
1232,38,45.0,2019-04-01 16:00:00
1235,36,44.0,2019-04-01 16:00:00
1240,35,30.0,2019-04-01 16:00:00
1245,49,28.0,2019-04-01 16:00:00
1247,4,46.0,2019-04-01 16:00:00
1249,57,28.0,2019-04-01 16:00:00
1252,58,24.0,2019-04-01 16:00:00
1257,60,32.0,2019-04-01 16:00:00
1261,59,23.0,2019-04-01 16:00:00
1264,56,54.0,2019-04-01 16:00:00
1265,11,51.0,2019-04-01 16:00:00
1267,17,19.0,2019-04-01 16:00:00
1268,50,36.0,2019-04-01 16:00:00
1271,8,53.0,2019-04-01 16:00:00
1273,54,23.0,2019-04-01 16:00:00
1275,18,33.0,2019-04-01 16:00:00
1276,55,29.0,2019-04-01 16:00:00
1283,27,22.0,2019-04-01 16:00:00
1284,24,28.0,2019-04-01 16:00:00
