dt,estacion,concentracion
2020-01-01 00:00:00,39,1.0
2020-01-01 00:00:00,16,1.0
2020-01-01 00:00:00,8,1.0
2020-01-01 00:00:00,24,1.88
2020-01-01 00:00:00,27,2.71
2020-01-01 00:00:00,35,5.44
2020-01-01 00:00:00,18,2.53
2020-01-01 00:00:00,17,2.04
2020-01-01 00:00:00,49,0.94
2020-01-01 00:00:00,60,1.0
2020-01-01 00:00:00,59,1.33
2020-01-01 00:00:00,58,2.66
2020-01-01 00:00:00,56,3.83
2020-01-01 01:00:00,49,0.83
2020-01-01 01:00:00,16,1.0
2020-01-01 01:00:00,56,3.83
2020-01-01 01:00:00,39,1.0
2020-01-01 01:00:00,35,4.79
2020-01-01 01:00:00,60,1.0
2020-01-01 01:00:00,8,1.0
2020-01-01 01:00:00,27,2.34
2020-01-01 01:00:00,24,1.6
2020-01-01 01:00:00,58,2.34
2020-01-01 01:00:00,17,2.93
2020-01-01 01:00:00,18,3.08
2020-01-01 01:00:00,59,1.0
2020-01-01 02:00:00,8,1.0
2020-01-01 02:00:00,49,1.0
2020-01-01 02:00:00,56,3.71
2020-01-01 02:00:00,27,2.32
2020-01-01 02:00:00,58,3.25
2020-01-01 02:00:00,35,5.27
2020-01-01 02:00:00,60,1.0
2020-01-01 02:00:00,39,1.0
2020-01-01 02:00:00,18,6.83
2020-01-01 02:00:00,59,2.0
2020-01-01 02:00:00,17,2.34
2020-01-01 02:00:00,16,1.0
2020-01-01 02:00:00,24,1.72
2020-01-01 03:00:00,59,2.71
2020-01-01 03:00:00,49,1.0
2020-01-01 03:00:00,56,3.68
2020-01-01 03:00:00,60,1.0
2020-01-01 03:00:00,58,3.06
2020-01-01 03:00:00,24,1.83
2020-01-01 03:00:00,18,2.35
2020-01-01 03:00:00,17,2.17
2020-01-01 03:00:00,16,1.0
2020-01-01 03:00:00,8,1.0
2020-01-01 03:00:00,27,2.42
2020-01-01 03:00:00,39,1.0
2020-01-01 03:00:00,35,5.54
2020-01-01 04:00:00,8,1.0
2020-01-01 04:00:00,35,4.81
2020-01-01 04:00:00,24,1.49
2020-01-01 04:00:00,56,3.59
2020-01-01 04:00:00,27,2.28
2020-01-01 04:00:00,17,2.43
2020-01-01 04:00:00,18,2.28
2020-01-01 04:00:00,16,1.0
2020-01-01 04:00:00,58,3.17
2020-01-01 04:00:00,39,1.0
2020-01-01 04:00:00,60,1.0
2020-01-01 04:00:00,49,1.0
2020-01-01 04:00:00,59,5.34
2020-01-01 05:00:00,60,1.0
2020-01-01 05:00:00,39,1.0
2020-01-01 05:00:00,58,6.71
2020-01-01 05:00:00,59,9.75
2020-01-01 05:00:00,56,3.65
2020-01-01 05:00:00,17,2.44
2020-01-01 05:00:00,16,3.13
2020-01-01 05:00:00,49,1.0
2020-01-01 05:00:00,8,1.0
2020-01-01 05:00:00,35,6.06
2020-01-01 05:00:00,27,2.8
2020-01-01 05:00:00,24,1.46
2020-01-01 05:00:00,18,2.31
2020-01-01 06:00:00,58,2.73
2020-01-01 06:00:00,27,2.61
2020-01-01 06:00:00,59,9.63
2020-01-01 06:00:00,60,1.0
2020-01-01 06:00:00,17,1.96
2020-01-01 06:00:00,16,7.77
2020-01-01 06:00:00,8,1.2
2020-01-01 06:00:00,24,1.42
2020-01-01 06:00:00,56,3.41
2020-01-01 06:00:00,35,6.57
2020-01-01 06:00:00,49,1.0
2020-01-01 06:00:00,18,2.2
2020-01-01 06:00:00,39,1.0
2020-01-01 07:00:00,24,1.4
2020-01-01 07:00:00,27,1.6
2020-01-01 07:00:00,56,3.35
2020-01-01 07:00:00,8,1.42
2020-01-01 07:00:00,49,1.0
2020-01-01 07:00:00,39,1.0
2020-01-01 07:00:00,35,6.07
2020-01-01 07:00:00,17,2.17
2020-01-01 07:00:00,60,1.0
2020-01-01 07:00:00,16,6.51
2020-01-01 07:00:00,59,5.9
2020-01-01 07:00:00,58,2.77
